OrderID,Date,Product,Category,Region,Quantity,UnitPrice,Revenue,CustomerAge,Rating
43,2024-01-14,Smart Power Strip,Electronics,East,3,34.99,104.97,25,
44,2024-01-17,Wireless Mouse,Electronics,West,1,29.99,29.99,45,4.2
45,2024-02-03,USB-C Hub,Electronics,North,2,49.99,99.98,52,4.9
46,2024-02-16,Mechanical Keyboard,Accessories,,1,89.99,89.99,19,4.1
47,2024-03-01,Monitor Stand,Furniture,East,5,39.99,199.95,31,4.6
48,2024-03-07,Webcam HD,Electronics,West,1,69.99,69.99,,4.7
49,2024-03-12,Laptop Sleeve,Accessories,North,2,19.99,39.98,41,
50,2024-03-24,Desk Lamp,Lighting,South,1,25.00,25.00,38,4.3
51,2024-04-03,Noise Cancelling Headphones,Electronics,West,1,199.99,199.99,29,4.4
52,2024-04-14,Portable SSD,Storage,East,4,129.99,519.96,,3.9
53,2024-04-27,Ergonomic Chair,Furniture,North,2,249.99,499.98,22,4.0
54,2024-05-04,Standing Desk Mat,Furniture,,3,49.99,149.97,36,4.5
55,2024-05-20,Cable Management Kit,Accessories,South,2,14.99,29.98,48,
56,2024-06-01,Blue Light Glasses,Accessories,West,1,24.99,24.99,55,4.2
57,2024-06-13,Wireless Charger,Electronics,North,2,29.99,59.98,,4.8
58,2024-06-27,Smart Power Strip,Electronics,East,1,34.99,34.99,61,3.8
59,2024-07-06,Wireless Mouse,Electronics,South,4,29.99,119.96,33,
60,2024-07-17,USB-C Hub,Electronics,West,1,49.99,49.99,27,4.6
61,2024-01-04,Mechanical Keyboard,Accessories,North,2,89.99,179.98,34,4.5
62,2024-01-08,Monitor Stand,Furniture,South,1,39.99,39.99,,4.8
63,2024-01-15,Webcam HD,Electronics,East,3,69.99,209.97,25,
64,2024-01-18,Laptop Sleeve,Accessories,West,1,19.99,19.99,45,4.2
65,2024-02-04,Desk Lamp,Lighting,North,2,25.00,50.00,52,4.9
66,2024-02-17,Noise Cancelling Headphones,Electronics,,1,199.99,199.99,19,4.1
67,2024-03-02,Portable SSD,Storage,East,5,129.99,649.95,31,4.6
68,2024-03-08,Ergonomic Chair,Furniture,West,1,249.99,249.99,,4.7
69,2024-03-13,Standing Desk Mat,Furniture,North,2,49.99,99.98,41,
70,2024-03-25,Cable Management Kit,Accessories,South,1,14.99,14.99,38,4.3
71,2024-04-04,Blue Light Glasses,Accessories,West,1,24.99,24.99,29,4.4
72,2024-04-15,Wireless Charger,Electronics,East,4,29.99,119.96,,3.9
73,2024-04-28,Smart Power Strip,Electronics,North,2,34.99,69.98,22,4.0
74,2024-05-05,Wireless Mouse,Electronics,,3,29.99,89.97,36,4.5
75,2024-05-21,USB-C Hub,Electronics,South,2,49.99,99.98,48,
76,2024-06-02,Mechanical Keyboard,Accessories,West,1,89.99,89.99,55,4.2
77,2024-06-14,Monitor Stand,Furniture,North,2,39.99,79.98,,4.8
78,2024-06-28,Webcam HD,Electronics,East,1,69.99,69.99,61,3.8
79,2024-07-07,Laptop Sleeve,Accessories,South,4,19.99,79.96,33,
80,2024-07-18,Desk Lamp,Lighting,West,1,25.00,25.00,27,4.6
81,2024-08-01,Noise Cancelling Headphones,Electronics,North,2,199.99,399.98,34,4.5
82,2024-08-05,Portable SSD,Storage,South,1,129.99,129.99,,4.8
83,2024-08-12,Ergonomic Chair,Furniture,East,3,249.99,749.97,25,
84,2024-08-15,Standing Desk Mat,Furniture,West,1,49.99,49.99,45,4.2
85,2024-09-01,Cable Management Kit,Accessories,North,2,14.99,29.98,52,4.9
86,2024-09-14,Blue Light Glasses,Accessories,,1,24.99,24.99,19,4.1
87,2024-09-28,Wireless Charger,Electronics,East,5,29.99,149.95,31,4.6
88,2024-10-05,Smart Power Strip,Electronics,West,1,34.99,34.99,,4.7
89,2024-10-10,Wireless Mouse,Electronics,North,2,29.99,59.98,41,
90,2024-10-22,USB-C Hub,Electronics,South,1,49.99,49.99,38,4.3
91,2024-11-01,Mechanical Keyboard,Accessories,West,1,89.99,89.99,29,4.4
92,2024-11-12,Monitor Stand,Furniture,East,4,39.99,159.96,,3.9
93,2024-11-25,Webcam HD,Electronics,North,2,69.99,139.98,22,4.0
94,2024-12-02,Laptop Sleeve,Accessories,,3,19.99,59.97,36,4.5
95,2024-12-18,Desk Lamp,Lighting,South,2,25.00,50.00,48,
96,2024-12-30,Noise Cancelling Headphones,Electronics,West,1,199.99,199.99,55,4.2
97,2024-08-11,Portable SSD,Storage,North,2,129.99,259.98,,4.8
98,2024-08-25,Ergonomic Chair,Furniture,East,1,249.99,249.99,61,3.8
99,2024-09-04,Standing Desk Mat,Furniture,South,4,49.99,199.96,33,
100,2024-09-15,Cable Management Kit,Accessories,West,1,14.99,14.99,27,4.6
101,2024-08-02,Blue Light Glasses,Accessories,North,2,24.99,49.98,34,4.5
102,2024-08-06,Wireless Charger,Electronics,South,1,29.99,29.99,,4.8
103,2024-08-13,Smart Power Strip,Electronics,East,3,34.99,104.97,25,
104,2024-08-16,Wireless Mouse,Electronics,West,1,29.99,29.99,45,4.2
105,2024-09-02,USB-C Hub,Electronics,North,2,49.99,99.98,52,4.9
106,2024-09-15,Mechanical Keyboard,Accessories,,1,89.99,89.99,19,4.1
107,2024-09-29,Monitor Stand,Furniture,East,5,39.99,199.95,31,4.6
108,2024-10-06,Webcam HD,Electronics,West,1,69.99,69.99,,4.7
109,2024-10-11,Laptop Sleeve,Accessories,North,2,19.99,39.98,41,
110,2024-10-23,Desk Lamp,Lighting,South,1,25.00,25.00,38,4.3
111,2024-11-02,Noise Cancelling Headphones,Electronics,West,1,199.99,199.99,29,4.4
112,2024-11-13,Portable SSD,Storage,East,4,129.99,519.96,,3.9
113,2024-11-26,Ergonomic Chair,Furniture,North,2,249.99,499.98,22,4.0
114,2024-12-03,Standing Desk Mat,Furniture,,3,49.99,149.97,36,4.5
115,2024-12-19,Cable Management Kit,Accessories,South,2,14.99,29.98,48,
116,2024-12-31,Blue Light Glasses,Accessories,West,1,24.99,24.99,55,4.2
117,2024-08-12,Wireless Charger,Electronics,North,2,29.99,59.98,,4.8
118,2024-08-26,Smart Power Strip,Electronics,East,1,34.99,34.99,61,3.8
119,2024-09-05,Wireless Mouse,Electronics,South,4,29.99,119.96,33,
120,2024-09-16,USB-C Hub,Electronics,West,1,49.99,49.99,27,4.6
121,2024-08-03,Mechanical Keyboard,Accessories,North,2,89.99,179.98,34,4.5
122,2024-08-07,Monitor Stand,Furniture,South,1,39.99,39.99,,4.8
123,2024-08-14,Webcam HD,Electronics,East,3,69.99,209.97,25,
124,2024-08-17,Laptop Sleeve,Accessories,West,1,19.99,19.99,45,4.2
125,2024-09-03,Desk Lamp,Lighting,North,2,25.00,50.00,52,4.9
126,2024-09-16,Noise Cancelling Headphones,Electronics,,1,199.99,199.99,19,4.1
127,2024-09-30,Portable SSD,Storage,East,5,129.99,649.95,31,4.6
128,2024-10-07,Ergonomic Chair,Furniture,West,1,249.99,249.99,,4.7
129,2024-10-12,Standing Desk Mat,Furniture,North,2,49.99,99.98,41,
130,2024-10-24,Cable Management Kit,Accessories,South,1,14.99,14.99,38,4.3
131,2024-11-03,Blue Light Glasses,Accessories,West,1,24.99,24.99,29,4.4
132,2024-11-14,Wireless Charger,Electronics,East,4,29.99,119.96,,3.9
133,2024-11-27,Smart Power Strip,Electronics,North,2,34.99,69.98,22,4.0
134,2024-12-04,Wireless Mouse,Electronics,,3,29.99,89.97,36,4.5
135,2024-12-20,USB-C Hub,Electronics,South,2,49.99,99.98,48,
136,2024-12-31,Mechanical Keyboard,Accessories,West,1,89.99,89.99,55,4.2
137,2024-08-13,Monitor Stand,Furniture,North,2,39.99,79.98,,4.8
138,2024-08-27,Webcam HD,Electronics,East,1,69.99,69.99,61,3.8
139,2024-09-06,Laptop Sleeve,Accessories,South,4,19.99,79.96,33,
140,2024-09-17,Desk Lamp,Lighting,West,1,25.00,25.00,27,4.6
141,2024-01-08,Wireless Mouse,Electronics,North,2,29.99,59.98,34,4.5
142,2024-01-12,USB-C Hub,Electronics,South,1,49.99,49.99,,4.8
143,2024-01-19,Mechanical Keyboard,Accessories,East,3,89.99,269.97,25,
144,2024-01-22,Monitor Stand,Furniture,West,1,39.99,39.99,45,4.2
145,2024-02-08,Webcam HD,Electronics,North,2,69.99,139.98,52,4.9
146,2024-02-21,Laptop Sleeve,Accessories,,1,19.99,19.99,19,4.1
147,2024-03-06,Desk Lamp,Lighting,East,5,25.00,125.00,31,4.6
148,2024-03-12,Noise Cancelling Headphones,Electronics,West,1,199.99,199.99,,4.7
149,2024-03-17,Portable SSD,Storage,North,2,129.99,259.98,41,
150,2024-03-29,Ergonomic Chair,Furniture,South,1,249.99,249.99,38,4.3
151,2024-04-08,Standing Desk Mat,Furniture,West,1,49.99,49.99,29,4.4
152,2024-04-19,Cable Management Kit,Accessories,East,4,14.99,59.96,,3.9
153,2024-05-02,Blue Light Glasses,Accessories,North,2,24.99,49.98,22,4.0
154,2024-05-09,Wireless Charger,Electronics,,3,29.99,89.97,36,4.5
155,2024-05-25,Smart Power Strip,Electronics,South,2,34.99,69.98,48,
156,2024-06-06,Wireless Mouse,Electronics,West,1,29.99,29.99,55,4.2
157,2024-06-18,Mechanical Keyboard,Accessories,North,2,89.99,179.98,,4.8
158,2024-07-02,Monitor Stand,Furniture,East,1,39.99,39.99,61,3.8
159,2024-07-11,Webcam HD,Electronics,South,4,69.99,279.96,33,
160,2024-07-22,Laptop Sleeve,Accessories,West,1,19.99,19.99,27,4.6
161,2024-01-09,Desk Lamp,Lighting,North,2,25.00,50.00,34,4.5
162,2024-01-13,Portable SSD,Storage,South,1,129.99,129.99,,4.8
163,2024-01-20,Ergonomic Chair,Furniture,East,3,249.99,749.97,25,
164,2024-01-23,Standing Desk Mat,Furniture,West,1,49.99,49.99,45,4.2
165,2024-02-09,Cable Management Kit,Accessories,North,2,14.99,29.98,52,4.9
166,2024-02-22,Blue Light Glasses,Accessories,,1,24.99,24.99,19,4.1
167,2024-03-07,Wireless Charger,Electronics,East,5,29.99,149.95,31,4.6
168,2024-03-13,Smart Power Strip,Electronics,West,1,34.99,34.99,,4.7
169,2024-03-18,Wireless Mouse,Electronics,North,2,29.99,59.98,41,
170,2024-03-30,USB-C Hub,Electronics,South,1,49.99,49.99,38,4.3
171,2024-04-09,Mechanical Keyboard,Accessories,West,1,89.99,89.99,29,4.4
172,2024-04-20,Monitor Stand,Furniture,East,4,39.99,159.96,,3.9
173,2024-05-03,Webcam HD,Electronics,North,2,69.99,139.98,22,4.0
174,2024-05-10,Laptop Sleeve,Accessories,,3,19.99,59.97,36,4.5
175,2024-05-26,Desk Lamp,Lighting,South,2,25.00,50.00,48,
176,2024-06-07,Noise Cancelling Headphones,Electronics,West,1,199.99,199.99,55,4.2
177,2024-06-19,Portable SSD,Storage,North,2,129.99,259.98,,4.8
178,2024-07-03,Ergonomic Chair,Furniture,East,1,249.99,249.99,61,3.8
179,2024-07-12,Standing Desk Mat,Furniture,South,4,49.99,199.96,33,
180,2024-07-23,Cable Management Kit,Accessories,West,1,14.99,14.99,27,4.6
181,2024-01-10,Blue Light Glasses,Accessories,North,2,24.99,49.98,34,4.5
182,2024-01-14,Wireless Charger,Electronics,South,1,29.99,29.99,,4.8
183,2024-01-21,Smart Power Strip,Electronics,East,3,34.99,104.97,25,
184,2024-01-24,Wireless Mouse,Electronics,West,1,29.99,29.99,45,4.2
185,2024-02-10,USB-C Hub,Electronics,North,2,49.99,99.98,52,4.9
186,2024-02-23,Mechanical Keyboard,Accessories,,1,89.99,89.99,19,4.1
187,2024-03-08,Monitor Stand,Furniture,East,5,39.99,199.95,31,4.6
188,2024-03-14,Webcam HD,Electronics,West,1,69.99,69.99,,4.7
189,2024-03-19,Laptop Sleeve,Accessories,North,2,19.99,39.98,41,
190,2024-03-31,Desk Lamp,Lighting,South,1,25.00,25.00,38,4.3
191,2024-04-10,Noise Cancelling Headphones,Electronics,West,1,199.99,199.99,29,4.4
192,2024-04-21,Portable SSD,Storage,East,4,129.99,519.96,,3.9
193,2024-05-04,Ergonomic Chair,Furniture,North,2,249.99,499.98,22,4.0
194,2024-05-11,Standing Desk Mat,Furniture,,3,49.99,149.97,36,4.5
195,2024-05-27,Cable Management Kit,Accessories,South,2,14.99,29.98,48,
196,2024-06-08,Blue Light Glasses,Accessories,West,1,24.99,24.99,55,4.2
197,2024-06-20,Wireless Charger,Electronics,North,2,29.99,59.98,,4.8
198,2024-01-01,Wireless Mouse,Electronics,North,2,29.99,59.98,34,4.5
199,2024-01-05,USB-C Hub,Electronics,South,1,49.99,49.99,,4.8
200,2024-01-12,Mechanical Keyboard,Accessories,East,3,89.99,269.97,25,
